sc_point_gid,latitude,longitude,timezone,elevation_m,resource,area_developable_sq_km,capacity_ac_mw,capacity_density_included_area_mw_per_km2,capacity_density_convex_hull_mw_per_km2,dist_spur_km
28236,43.58185,-107.931625,-7,1791.2222,5.754653,8.226,156,21.835896,1.7548004,0.524558441
28237,43.594006,-107.78105,-7,1766.6052,5.935508,21.816002,216,11.0283985,2.1806118,11.91682466
28238,43.606007,-107.63041,-7,1874.2258,6.1299834,15.309899,168,12.22921,2.2481968,23.44276621
28239,43.61786,-107.47971,-7,1794.5,6.176366,22.873419,216,10.902153,2.5538077,32.48488958
28240,43.629555,-107.328964,-7,1875.1212,5.503523,16.8066,228,15.646553,2.1429336,43.74128568
28241,43.641098,-107.178154,-7,2270.795,7.950886,24.0588,246,11.762343,2.4204924,51.32887661
28242,43.652485,-107.02728,-7,2145.6667,8.782317,37.503403,264,7.701463,2.3710744,39.56336362
28243,43.663723,-106.876366,-7,1648.075,6.071721,19.299105,228,13.098254,2.241729,27.35049999
28244,43.674797,-106.72539,-7,1523.8536,6.000162,20.9061,204,11.203374,1.957686,13.91381818
28245,43.685726,-106.574356,-7,1437.3889,6.2569175,29.844002,180,6.8481426,1.9852225,2.539188309
28246,43.696495,-106.42326,-7,1409.0244,6.5141807,57.279602,240,4.7613096,2.2807918,11.41565584
28247,43.707115,-106.272125,-7,1406.2444,6.9871135,41.643898,234,6.3589892,2.147952,23.75579869
28248,43.717575,-106.12093,-7,1433.5227,7.385468,61.0992,246,4.2781196,2.37164,14.31484415
28249,43.727882,-105.96969,-7,1513.5946,7.6650615,76.25432,264,3.7674942,2.435798,2.352792206
28250,43.738037,-105.81839,-7,1605.3684,8.741103,54.181442,252,4.9785743,2.5475216,3.283675324
28251,43.748035,-105.667046,-7,1547.5,8.525587,47.298603,228,5.49125,2.2479217,9.343006486
28252,43.757877,-105.515656,-7,1533.6976,8.726395,42.233402,246,6.570829,2.4234645,5.937350647
28253,43.767567,-105.36421,-7,1471.9535,8.479536,19.761957,234,12.862372,2.2902591,2.561025971
28254,43.777103,-105.212715,-7,1449.9269,8.383842,28.370539,240,9.638786,2.254975,16.6596883
28255,43.78648,-105.06117,-7,1382.4048,7.9967914,23.028166,216,12.148823,2.310234,5.210954544
