sc_point_gid,latitude,longitude,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km
48020,38.77548651,-103.6636125,-7,42.62239775,101.0045805,29.97174024
48301,37.20174948,-117.255229,-8,20.98598467,51.69796802,65.00531814
48302,37.22348141,-117.1212448,-8,18.76844751,45.59736792,52.83877918
48303,37.24507733,-116.9871747,-8,60.39342202,144.3973047,48.11071427
48304,37.26653713,-116.8530192,-8,2.457288062,5.838115526,48.46166881
48324,37.66697948,-114.1526898,-8,11.56280438,27.39614536,53.91612983
48325,37.68555575,-114.016849,-7,27.81735381,67.87314446,30.94255193
48326,37.70399357,-113.8809333,-7,16.50081533,40.35606651,14.86763635
48371,38.3888897,-107.6955344,-7,0.916056038,2.215560541,1.207279221
48372,38.40086104,-107.5567362,-7,3.762369168,9.412438864,2.374629868
48373,38.41268992,-107.4178882,-7,2.700170892,7.021202425,0.54
48374,38.4243763,-107.2789909,-7,13.47083987,35.55007873,0.884558441
48375,38.43592009,-107.140045,-7,1.605563965,4.337310755,0.27
48376,38.44732122,-107.001051,-7,0.17082001,0.465022222,0.217279221
48377,38.45857965,-106.8620094,-7,1.742957941,4.636341409,3.140954544
48378,38.46969529,-106.7229209,-7,0.559917011,1.45044626,1.874558441
48379,38.48066808,-106.5837861,-7,1.717155011,4.310043504,3.901980515
48380,38.49149797,-106.4446054,-7,0.951408009,2.304647888,0.667279221
48382,38.51272876,-106.1661089,-7,1.587626944,3.855065157,3.392863633
48383,38.52312954,-106.0267943,-7,7.425927136,18.07598328,3.792792206
48384,38.53338717,-105.8874362,-7,0.040895998,0.099210284,2.638233765
48397,38.65368283,-104.0720901,-7,11.74801575,27.761661,10.67381818
48398,38.66193033,-103.9321848,-7,31.15185249,73.39973426,22.21565584
48399,38.67003385,-103.7922449,-7,14.28796791,33.4689308,28.74372075
48681,37.10614467,-117.224727,-8,0.441719996,1.079838121,71.00927917
48682,37.12784959,-117.0909221,-8,2.578968018,6.142548968,43.93672724
48683,37.14941864,-116.9570317,-8,1.114560049,2.633862617,36.44159739
48704,37.57079007,-114.1264004,-8,0.697500027,1.650438846,60.74927917
48705,37.58934272,-113.9907468,-7,0.463320006,1.09917963,31.56085712
48750,38.2796682,-107.8168995,-7,0.180738001,0.427939546,4.705584412
48751,38.29176596,-107.6783514,-7,0.717065984,1.703391758,10.5438896
48752,38.30372151,-107.539753,-7,0.916919975,2.280970654,13.51124025
48753,38.3155348,-107.4011051,-7,0.680471933,1.735501913,14.52042856
48754,38.32720575,-107.2624081,-7,5.284241949,13.93839408,0.27
48755,38.3387343,-107.1236627,-7,0.862523994,2.304179354,11.90558441
